2024-11-06 16:49:07.934 | INFO     | __main__:main:15 - 正在初始化机器人...
2024-11-06 16:49:07.938 | INFO     | src.robot.flexiv:__init__:22 - 正在连接Flexiv机器人 192.168.2.110...
2024-11-06 16:49:08.541 | INFO     | src.robot.flexiv:__init__:26 - 正在使能机器人...
2024-11-06 16:49:08.566 | INFO     | src.robot.flexiv:__init__:28 - 机器人初始化完成
2024-11-06 16:49:08.566 | INFO     | __main__:main:22 - 正在初始化相机...
2024-11-06 16:49:09.321 | INFO     | __main__:main:29 - 正在初始化标记检测器...
2024-11-06 16:49:09.332 | INFO     | __main__:main:36 - 正在初始化手眼标定器...
2024-11-06 16:49:09.337 | INFO     | src.calibration.hand_eye_calibrator:__init__:36 - 手眼标定器初始化完成，使用eye_to_hand方法
2024-11-06 16:49:09.339 | INFO     | src.calibration.data_collector:__init__:22 - 数据采集器初始化完成
2024-11-06 16:49:09.339 | INFO     | __main__:main:50 - 系统初始化完成
2024-11-06 16:49:09.340 | INFO     | src.calibration.data_collector:collect_data:32 - 开始采集数据
2024-11-06 16:49:09.340 | INFO     | src.calibration.data_collector:collect_data:33 - 按 's' 键保存当前姿态，按 'ESC' 键结束采集
2024-11-06 16:49:15.520 | INFO     | src.calibration.data_collector:collect_data:86 - 数据采集完成，共采集 0 组数据
2024-11-06 16:49:15.521 | ERROR    | __main__:main:56 - 采集的数据不足,至少需要2组数据
2024-11-06 16:49:15.528 | INFO     | __main__:main:78 - 程序已终止
