2024-11-06 17:02:42.740 | INFO     | __main__:main:11 - 正在初始化机器人...
2024-11-06 17:02:42.743 | INFO     | src.robot.flexiv:__init__:21 - 正在连接Flexiv机器人 192.168.2.110...
2024-11-06 17:02:43.346 | INFO     | src.robot.flexiv:__init__:25 - 正在使能机器人...
2024-11-06 17:02:43.371 | INFO     | src.robot.flexiv:__init__:27 - 机器人初始化完成
2024-11-06 17:02:43.372 | INFO     | __main__:main:18 - 正在初始化相机...
2024-11-06 17:02:43.904 | INFO     | __main__:main:25 - 正在初始化标记检测器...
2024-11-06 17:02:43.909 | INFO     | __main__:main:32 - 正在初始化手眼标定器...
2024-11-06 17:02:43.913 | INFO     | src.calibration.hand_eye_calibrator:__init__:36 - 手眼标定器初始化完成，使用eye_to_hand方法
2024-11-06 17:02:43.915 | INFO     | src.calibration.data_collector:__init__:22 - 数据采集器初始化完成
2024-11-06 17:02:43.915 | INFO     | __main__:main:46 - 系统初始化完成
2024-11-06 17:02:43.915 | INFO     | src.calibration.data_collector:collect_data:32 - 开始采集数据
2024-11-06 17:02:43.915 | INFO     | src.calibration.data_collector:collect_data:33 - 按 's' 键保存当前姿态，按 'ESC' 键结束采集
2024-11-06 17:02:49.042 | INFO     | src.calibration.data_collector:collect_data:86 - 数据采集完成，共采集 0 组数据
2024-11-06 17:02:49.043 | ERROR    | __main__:main:52 - 采集的数据不足,至少需要2组数据
2024-11-06 17:02:49.058 | INFO     | __main__:main:74 - 程序已终止
